TestTime_s_,Current_A_
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,-0.019280205655527
9,-0.019280205655527
10,-0.019280205655527
11,-0.790488431876607
12,-3.27763496143959
13,-4.08740359897172
14,-4.08740359897172
15,0.096401028277635
16,-3.04627249357327
17,-3.04627249357327
18,-2.62210796915167
19,-2.35218508997429
20,-2.48714652956298
21,-2.1401028277635
22,-3.25835475578406
23,-2.50642673521851
24,-0.983290488431877
25,0.173521850899743
26,0.173521850899743
27,0.732647814910026
28,0.269922879177378
29,0.173521850899743
30,-0.366323907455013
31,-1.29177377892031
32,0.019280205655527
33,-0.38560411311054
34,0.674807197943445
35,1.17609254498715
36,1.13753213367609
37,1.04113110539846
38,0.77120822622108
39,0.597686375321337
40,0.289203084832905
41,0.057840616966581
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,-0.019280205655527
51,-2.31362467866324
52,-2.56426735218509
53,-1.87017994858612
54,-2.75706940874036
55,-4.16452442159383
56,-4.10668380462725
57,-2.66066838046272
58,-4.02956298200514
59,-4.68508997429306
60,-4.5694087403599
61,-3.60539845758355
62,-2.35218508997429
63,-3.31619537275064
64,-3.16195372750643
65,-3.45115681233933
66,-2.91131105398458
67,-2.67994858611825
68,-2.06298200514139
69,-0.250642673521851
70,-0.906169665809769
71,-0.096401028277635
72,0.134961439588689
73,0.134961439588689
74,-0.38560411311054
75,-1.02185089974293
76,-0.38560411311054
77,0.134961439588689
78,0.366323907455013
79,-0.19280205655527
80,-0.482005141388175
81,-0.482005141388175
82,-0.790488431876607
83,-0.790488431876607
84,-1.426735218509
85,-2.08226221079692
86,-3.10411311053985
87,-3.91388174807198
88,-4.24164524421594
89,-4.04884318766067
90,-4.01028277634961
91,-4.55012853470437
92,-4.91645244215938
93,-4.28020565552699
94,-4.41516709511568
95,-3.27763496143959
96,-1.63881748071979
97,-1.44601542416452
98,-0.404884318766067
99,0.96401028277635
100,0.713367609254499
101,0.636246786632391
102,0.404884318766067
103,0.404884318766067
104,0.559125964010283
105,0.674807197943445
106,0.655526992287918
107,0.539845758354756
108,0.616966580976864
109,0.559125964010283
110,0.597686375321337
111,0.501285347043702
112,0.559125964010283
113,0.790488431876607
